VERTEX = 482
0.0 -226.0 -136.0
0.0 -239.0 -106.0
0.0 -247.0 -65.0
0.0 -251.0 -36.0
0.0 -248.0 -16.0
-7.0 -227.0 -12.1
-16.5 -227.0 -28.6
-25.0 -226.0 -43.3
-36.0 -222.0 -62.4
-51.0 -217.0 -88.3
-64.0 -194.0 -110.9
-72.5 -171.0 -125.6
-82.5 -137.0 -142.9
-84.0 -98.0 -145.5
-85.5 -60.0 -148.1
-85.0 -6.0 -147.2
-85.5 37.0 -148.1
-90.0 78.0 -155.9
-88.0 108.0 -152.4
-90.0 152.0 -155.9
-92.0 184.0 -159.3
-100.5 213.0 -174.1
-114.5 219.0 -198.3
-115.5 200.0 -200.1
-111.5 190.0 -193.1
-107.5 175.0 -186.2
-105.5 152.0 -182.7
-104.5 131.0 -181.0
-104.0 110.0 -180.1
-102.0 92.0 -176.7
-100.0 65.0 -173.2
-102.0 39.0 -176.7
-101.5 11.0 -175.8
-100.5 -13.0 -174.1
-100.5 -51.0 -174.1
-99.0 -78.0 -171.5
-97.0 -114.0 -168.0
-96.0 -157.0 -166.3
-90.0 -189.0 -155.9
-77.5 -211.0 -134.2
-68.0 -226.0 -117.8
-53.0 -239.0 -91.8
-32.5 -247.0 -56.3
-18.0 -251.0 -31.2
-8.0 -248.0 -13.9
-12.1 -227.0 -7.0
-28.6 -227.0 -16.5
-43.3 -226.0 -25.0
-62.4 -222.0 -36.0
-88.3 -217.0 -51.0
-110.9 -194.0 -64.0
-125.6 -171.0 -72.5
-142.9 -137.0 -82.5
-145.5 -98.0 -84.0
-148.1 -60.0 -85.5
-147.2 -6.0 -85.0
-148.1 37.0 -85.5
-155.9 78.0 -90.0
-152.4 108.0 -88.0
-155.9 152.0 -90.0
-159.3 184.0 -92.0
-174.1 213.0 -100.5
-198.3 219.0 -114.5
-200.1 200.0 -115.5
-193.1 190.0 -111.5
-186.2 175.0 -107.5
-182.7 152.0 -105.5
-181.0 131.0 -104.5
-180.1 110.0 -104.0
-176.7 92.0 -102.0
-173.2 65.0 -100.0
-176.7 39.0 -102.0
-175.8 11.0 -101.5
-174.1 -13.0 -100.5
-174.1 -51.0 -100.5
-171.5 -78.0 -99.0
-168.0 -114.0 -97.0
-166.3 -157.0 -96.0
-155.9 -189.0 -90.0
-134.2 -211.0 -77.5
-117.8 -226.0 -68.0
-91.8 -239.0 -53.0
-56.3 -247.0 -32.5
-31.2 -251.0 -18.0
-13.9 -248.0 -8.0
0.0 -227.0 0.0
0.0 -248.0 0.0
FACE = 960
0 1 40
1 41 40
40 41 80
41 81 80
80 81 120
81 121 120
120 121 160
121 161 160
160 161 200
161 201 200
200 201 240
201 241 240
240 241 280
241 281 280
280 281 320
281 321 320
320 321 360
321 361 360
360 361 400
361 401 400
400 401 440
401 441 440
1 2 41
2 42 41
41 42 81
42 82 81
81 82 121
82 122 121
121 122 161
122 162 161
161 162 201
162 202 201
201 202 241
202 242 241
241 242 281
242 282 281
281 282 321
282 322 321
321 322 361
322 362 361
361 362 401
362 402 401
401 402 441
402 442 441
2 3 42
3 43 42
42 43 82
43 83 82
82 83 122
83 123 122
122 123 162
123 163 162
162 163 202
163 203 202
202 203 242
203 243 242
242 243 282
243 283 282
282 283 322
283 323 322
322 323 362
323 363 362
362 363 402
363 403 402
402 403 442
403 443 442
3 4 43
4 44 43
43 44 83
44 84 83
83 84 123
84 124 123
123 124 163
124 164 163
163 164 203
164 204 203
203 204 243
204 244 243
243 244 283
244 284 283
283 284 323
284 324 323
323 324 363
324 364 363
363 364 403
364 404 403
403 404 443
404 444 443
4 5 44
5 45 44
44 45 84
45 85 84
84 85 124
85 125 124
124 125 164
125 165 164
164 165 204
165 205 204
204 205 244
205 245 244
244 245 284
245 285 284
284 285 324
285 325 324
324 325 364
325 365 364
364 365 404
365 405 404
404 405 444
405 445 444
5 6 45
6 46 45
45 46 85
46 86 85
85 86 125
86 126 125
125 126 165
126 166 165
165 166 205
166 206 205
205 206 245
206 246 245
245 246 285
246 286 285
285 286 325
286 326 325
325 326 365
326 366 365
365 366 405
366 406 405
405 406 445
406 446 445
6 7 46
7 47 46
46 47 86
47 87 86
86 87 126
87 127 126
126 127 166
127 167 166
166 167 206
167 207 206
206 207 246
207 247 246
246 247 286
247 287 286
286 287 326
287 327 326
326 327 366
327 367 366
366 367 406
367 407 406
406 407 446
407 447 446
7 8 47
8 48 47
47 48 87
48 88 87
87 88 127
88 128 127
127 128 167
128 168 167
167 168 207
168 208 207
207 208 247
208 248 247
247 248 287
248 288 287
287 288 327
288 328 327
327 328 367
328 368 367
367 368 407
368 408 407
407 408 447
408 448 447
8 9 48
9 49 48
48 49 88
49 89 88
88 89 128
89 129 128
128 129 168
129 169 168
168 169 208
169 209 208
208 209 248
209 249 248
248 249 288
249 289 288
288 289 328
289 329 328
328 329 368
329 369 368
368 369 408
369 409 408
408 409 448
409 449 448
9 10 49
10 50 49
49 50 89
50 90 89
89 90 129
90 130 129
129 130 169
130 170 169
169 170 209
170 210 209
209 210 249
210 250 249
249 250 289
250 290 289
289 290 329
290 330 329
329 330 369
330 370 369
369 370 409
370 410 409
409 410 449
410 450 449
10 11 50
11 51 50
50 51 90
51 91 90
90 91 130
91 131 130
130 131 170
131 171 170
170 171 210
171 211 210
210 211 250
211 251 250
250 251 290
251 291 290
290 291 330
291 331 330
330 331 370
331 371 370
370 371 410
371 411 410
410 411 450
411 451 450
11 12 51
12 52 51
51 52 91
52 92 91
91 92 131
92 132 131
131 132 171
132 172 171
171 172 211
172 212 211
211 212 251
212 252 251
251 252 291
252 292 291
291 292 331
292 332 331
331 332 371
332 372 371
371 372 411
372 412 411
411 412 451
412 452 451
12 13 52
13 53 52
52 53 92
53 93 92
92 93 132
93 133 132
132 133 172
133 173 172
172 173 212
173 213 212
212 213 252
213 253 252
252 253 292
253 293 292
292 293 332
293 333 332
332 333 372
333 373 372
372 373 412
373 413 412
412 413 452
413 453 452
13 14 53
14 54 53
53 54 93
54 94 93
93 94 133
94 134 133
133 134 173
134 174 173
173 174 213
174 214 213
213 214 253
214 254 253
253 254 293
254 294 293
293 294 333
294 334 333
333 334 373
334 374 373
373 374 413
374 414 413
413 414 453
414 454 453
14 15 54
15 55 54
54 55 94
55 95 94
94 95 134
95 135 134
134 135 174
135 175 174
174 175 214
175 215 214
214 215 254
215 255 254
254 255 294
255 295 294
294 295 334
295 335 334
334 335 374
335 375 374
374 375 414
375 415 414
414 415 454
415 455 454
15 16 55
16 56 55
55 56 95
56 96 95
95 96 135
96 136 135
135 136 175
136 176 175
175 176 215
176 216 215
215 216 255
216 256 255
255 256 295
256 296 295
295 296 335
296 336 335
335 336 375
336 376 375
375 376 415
376 416 415
415 416 455
416 456 455
16 17 56
17 57 56
56 57 96
57 97 96
96 97 136
97 137 136
136 137 176
137 177 176
176 177 216
177 217 216
216 217 256
217 257 256
256 257 296
257 297 296
296 297 336
297 337 336
336 337 376
337 377 376
376 377 416
377 417 416
416 417 456
417 457 456
17 18 57
18 58 57
57 58 97
58 98 97
97 98 137
98 138 137
137 138 177
138 178 177
177 178 217
178 218 217
217 218 257
218 258 257
257 258 297
258 298 297
297 298 337
298 338 337
337 338 377
338 378 377
377 378 417
378 418 417
417 418 457
418 458 457
18 19 58
19 59 58
58 59 98
59 99 98
98 99 138
99 139 138
138 139 178
139 179 178
178 179 218
179 219 218
218 219 258
219 259 258
258 259 298
259 299 298
298 299 338
299 339 338
338 339 378
339 379 378
378 379 418
379 419 418
418 419 458
419 459 458
19 20 59
20 60 59
59 60 99
60 100 99
99 100 139
100 140 139
139 140 179
140 180 179
179 180 219
180 220 219
219 220 259
220 260 259
259 260 299
260 300 299
299 300 339
300 340 339
339 340 379
340 380 379
379 380 419
380 420 419
419 420 459
420 460 459
20 21 60
21 61 60
60 61 100
61 101 100
100 101 140
101 141 140
140 141 180
141 181 180
180 181 220
181 221 220
220 221 260
221 261 260
260 261 300
261 301 300
300 301 340
301 341 340
340 341 380
341 381 380
380 381 420
381 421 420
420 421 460
421 461 460
21 22 61
22 62 61
61 62 101
62 102 101
101 102 141
102 142 141
141 142 181
142 182 181
181 182 221
182 222 221
221 222 261
222 262 261
261 262 301
262 302 301
301 302 341
302 342 341
341 342 381
342 382 381
381 382 421
382 422 421
421 422 461
422 462 461
22 23 62
23 63 62
62 63 102
63 103 102
102 103 142
103 143 142
142 143 182
143 183 182
182 183 222
183 223 222
222 223 262
223 263 262
262 263 302
263 303 302
302 303 342
303 343 342
342 343 382
343 383 382
382 383 422
383 423 422
422 423 462
423 463 462
23 24 63
24 64 63
63 64 103
64 104 103
103 104 143
104 144 143
143 144 183
144 184 183
183 184 223
184 224 223
223 224 263
224 264 263
263 264 303
264 304 303
303 304 343
304 344 343
343 344 383
344 384 383
383 384 423
384 424 423
423 424 463
424 464 463
24 25 64
25 65 64
64 65 104
65 105 104
104 105 144
105 145 144
144 145 184
145 185 184
184 185 224
185 225 224
224 225 264
225 265 264
264 265 304
265 305 304
304 305 344
305 345 344
344 345 384
345 385 384
384 385 424
385 425 424
424 425 464
425 465 464
25 26 65
26 66 65
65 66 105
66 106 105
105 106 145
106 146 145
145 146 185
146 186 185
185 186 225
186 226 225
225 226 265
226 266 265
265 266 305
266 306 305
305 306 345
306 346 345
345 346 385
346 386 385
385 386 425
386 426 425
425 426 465
426 466 465
26 27 66
27 67 66
66 67 106
67 107 106
106 107 146
107 147 146
146 147 186
147 187 186
186 187 226
187 227 226
226 227 266
227 267 266
266 267 306
267 307 306
306 307 346
307 347 346
346 347 386
347 387 386
386 387 426
387 427 426
426 427 466
427 467 466
27 28 67
28 68 67
67 68 107
68 108 107
107 108 147
108 148 147
147 148 187
148 188 187
187 188 227
188 228 227
227 228 267
228 268 267
267 268 307
268 308 307
307 308 347
308 348 347
347 348 387
348 388 387
387 388 427
388 428 427
427 428 467
428 468 467
28 29 68
29 69 68
68 69 108
69 109 108
108 109 148
109 149 148
148 149 188
149 189 188
188 189 228
189 229 228
228 229 268
229 269 268
268 269 308
269 309 308
308 309 348
309 349 348
348 349 388
349 389 388
388 389 428
389 429 428
428 429 468
429 469 468
29 30 69
30 70 69
69 70 109
70 110 109
109 110 149
110 150 149
149 150 189
150 190 189
189 190 229
190 230 229
229 230 269
230 270 269
269 270 309
270 310 309
309 310 349
310 350 349
349 350 389
350 390 389
389 390 429
390 430 429
429 430 469
430 470 469
30 31 70
31 71 70
70 71 110
71 111 110
110 111 150
111 151 150
150 151 190
151 191 190
190 191 230
191 231 230
230 231 270
231 271 270
270 271 310
271 311 310
310 311 350
311 351 350
350 351 390
351 391 390
390 391 430
391 431 430
430 431 470
431 471 470
31 32 71
32 72 71
71 72 111
72 112 111
111 112 151
112 152 151
151 152 191
152 192 191
191 192 231
192 232 231
231 232 271
232 272 271
271 272 311
272 312 311
311 312 351
312 352 351
351 352 391
352 392 391
391 392 431
392 432 431
431 432 471
432 472 471
32 33 72
33 73 72
72 73 112
73 113 112
112 113 152
113 153 152
152 153 192
153 193 192
192 193 232
193 233 232
232 233 272
233 273 272
272 273 312
273 313 312
312 313 352
313 353 352
352 353 392
353 393 392
392 393 432
393 433 432
432 433 472
433 473 472
33 34 73
34 74 73
73 74 113
74 114 113
113 114 153
114 154 153
153 154 193
154 194 193
193 194 233
194 234 233
233 234 273
234 274 273
273 274 313
274 314 313
313 314 353
314 354 353
353 354 393
354 394 393
393 394 433
394 434 433
433 434 473
434 474 473
34 35 74
35 75 74
74 75 114
75 115 114
114 115 154
115 155 154
154 155 194
155 195 194
194 195 234
195 235 234
234 235 274
235 275 274
274 275 314
275 315 314
314 315 354
315 355 354
354 355 394
355 395 394
394 395 434
395 435 434
434 435 474
435 475 474
35 36 75
36 76 75
75 76 115
76 116 115
115 116 155
116 156 155
155 156 195
156 196 195
195 196 235
196 236 235
235 236 275
236 276 275
275 276 315
276 316 315
315 316 355
316 356 355
355 356 395
356 396 395
395 396 435
396 436 435
435 436 475
436 476 475
36 37 76
37 77 76
76 77 116
77 117 116
116 117 156
117 157 156
156 157 196
157 197 196
196 197 236
197 237 236
236 237 276
237 277 276
276 277 316
277 317 316
316 317 356
317 357 356
356 357 396
357 397 396
396 397 436
397 437 436
436 437 476
437 477 476
37 38 77
38 78 77
77 78 117
78 118 117
117 118 157
118 158 157
157 158 197
158 198 197
197 198 237
198 238 237
237 238 277
238 278 277
277 278 317
278 318 317
317 318 357
318 358 357
357 358 397
358 398 397
397 398 437
398 438 437
437 438 477
438 478 477
38 39 78
39 79 78
78 79 118
79 119 118
118 119 158
119 159 158
158 159 198
159 199 198
198 199 238
199 239 238
238 239 278
239 279 278
278 279 318
279 319 318
318 319 358
319 359 358
358 359 398
359 399 398
398 399 438
399 439 438
438 439 478
439 479 478
440 441 0
441 1 0
441 442 1
442 2 1
442 443 2
443 3 2
443 444 3
444 4 3
444 445 4
445 5 4
445 446 5
446 6 5
446 447 6
447 7 6
447 448 7
448 8 7
448 449 8
449 9 8
449 450 9
450 10 9
450 451 10
451 11 10
451 452 11
452 12 11
452 453 12
453 13 12
453 454 13
454 14 13
454 455 14
455 15 14
455 456 15
456 16 15
456 457 16
457 17 16
457 458 17
458 18 17
458 459 18
459 19 18
459 460 19
460 20 19
460 461 20
461 21 20
461 462 21
462 22 21
462 463 22
463 23 22
463 464 23
464 24 23
464 465 24
465 25 24
465 466 25
466 26 25
466 467 26
467 27 26
467 468 27
468 28 27
468 469 28
469 29 28
469 470 29
470 30 29
470 471 30
471 31 30
471 472 31
472 32 31
472 473 32
473 33 32
473 474 33
474 34 33
474 475 34
475 35 34
475 476 35
476 36 35
476 477 36
477 37 36
477 478 37
478 38 37
478 479 38
479 39 38
0 40 480
40 80 480
80 120 480
120 160 480
160 200 480
200 240 480
240 280 480
280 320 480
320 360 480
360 400 480
400 440 480
440 0 480
79 39 481
119 79 481
159 119 481
199 159 481
239 199 481
279 239 481
319 279 481
359 319 481
399 359 481
439 399 481
479 439 481
39 479 481
VERTEX = 1 
-248.0
