VERTEX = 398
-0.0 144.0 20.0
-0.0 130.0 21.0
-0.0 116.0 21.0
-0.0 104.0 23.0
-0.0 91.0 22.0
-0.0 80.0 23.0
-0.0 63.0 25.0
-0.0 46.0 26.0
-0.0 37.0 43.0
-0.0 47.0 64.0
-0.0 69.0 84.0
-0.0 93.0 92.0
-0.0 118.0 121.0
-0.0 137.0 162.0
-0.0 138.0 209.0
-0.0 121.0 244.0
-0.0 91.0 264.0
-0.0 52.0 280.0
-0.0 2.0 285.0
-0.0 -45.0 287.0
-0.0 -73.0 280.0
-0.0 -120.0 263.0
-0.0 -162.0 240.0
-0.0 -187.0 192.0
-0.0 -211.0 151.0
-0.0 -221.0 105.0
-0.0 -226.0 72.0
-0.0 -230.0 28.0
2.5 186.0 4.3
8.5 184.0 14.7
10.0 177.0 17.3
10.0 168.0 17.3
9.5 161.0 16.5
10.0 144.0 17.3
10.5 130.0 18.2
10.5 116.0 18.2
11.5 104.0 19.9
11.0 91.0 19.1
11.5 80.0 19.9
12.5 63.0 21.7
13.0 46.0 22.5
21.5 37.0 37.2
32.0 47.0 55.4
42.0 69.0 72.7
46.0 93.0 79.7
60.5 118.0 104.8
81.0 137.0 140.3
104.5 138.0 181.0
122.0 121.0 211.3
132.0 91.0 228.6
140.0 52.0 242.5
142.5 2.0 246.8
143.5 -45.0 248.5
140.0 -73.0 242.5
131.5 -120.0 227.8
120.0 -162.0 207.8
96.0 -187.0 166.3
75.5 -211.0 130.8
52.5 -221.0 90.9
36.0 -226.0 62.4
14.0 -230.0 24.2
4.3 186.0 2.5
14.7 184.0 8.5
17.3 177.0 10.0
17.3 168.0 10.0
16.5 161.0 9.5
17.3 144.0 10.0
18.2 130.0 10.5
18.2 116.0 10.5
19.9 104.0 11.5
19.1 91.0 11.0
19.9 80.0 11.5
21.7 63.0 12.5
22.5 46.0 13.0
37.2 37.0 21.5
55.4 47.0 32.0
72.7 69.0 42.0
79.7 93.0 46.0
104.8 118.0 60.5
140.3 137.0 81.0
181.0 138.0 104.5
211.3 121.0 122.0
228.6 91.0 132.0
242.5 52.0 140.0
246.8 2.0 142.5
248.5 -45.0 143.5
242.5 -73.0 140.0
227.8 -120.0 131.5
207.8 -162.0 120.0
166.3 -187.0 96.0
130.8 -211.0 75.5
90.9 -221.0 52.5
62.4 -226.0 36.0
24.2 -230.0 14.0
5.0 186.0 0.0
17.0 184.0 0.0
20.0 177.0 0.0
20.0 168.0 0.0
19.0 161.0 0.0
20.0 144.0 0.0
21.0 130.0 0.0
21.0 116.0 0.0
23.0 104.0 0.0
22.0 91.0 0.0
23.0 80.0 0.0
25.0 63.0 0.0
26.0 46.0 0.0
43.0 37.0 0.0
64.0 47.0 0.0
84.0 69.0 0.0
92.0 93.0 0.0
121.0 118.0 0.0
162.0 137.0 0.0
209.0 138.0 0.0
244.0 121.0 0.0
264.0 91.0 0.0
280.0 52.0 0.0
285.0 2.0 0.0
287.0 -45.0 0.0
280.0 -73.0 0.0
263.0 -120.0 0.0
240.0 -162.0 0.0
192.0 -187.0 0.0
151.0 -211.0 0.0
105.0 -221.0 0.0
72.0 -226.0 0.0
28.0 -230.0 0.0
4.3 186.0 -2.5
14.7 184.0 -8.5
17.3 177.0 -10.0
17.3 168.0 -10.0
16.5 161.0 -9.5
17.3 144.0 -10.0
18.2 130.0 -10.5
18.2 116.0 -10.5
19.9 104.0 -11.5
19.1 91.0 -11.0
19.9 80.0 -11.5
21.7 63.0 -12.5
22.5 46.0 -13.0
37.2 37.0 -21.5
55.4 47.0 -32.0
72.7 69.0 -42.0
79.7 93.0 -46.0
104.8 118.0 -60.5
140.3 137.0 -81.0
181.0 138.0 -104.5
211.3 121.0 -122.0
228.6 91.0 -132.0
242.5 52.0 -140.0
246.8 2.0 -142.5
248.5 -45.0 -143.5
242.5 -73.0 -140.0
227.8 -120.0 -131.5
207.8 -162.0 -120.0
166.3 -187.0 -96.0
130.8 -211.0 -75.5
90.9 -221.0 -52.5
62.4 -226.0 -36.0
24.2 -230.0 -14.0
2.5 186.0 -4.3
8.5 184.0 -14.7
10.0 177.0 -17.3
10.0 168.0 -17.3
9.5 161.0 -16.5
10.0 144.0 -17.3
10.5 130.0 -18.2
10.5 116.0 -18.2
11.5 104.0 -19.9
11.0 91.0 -19.1
11.5 80.0 -19.9
12.5 63.0 -21.7
13.0 46.0 -22.5
21.5 37.0 -37.2
32.0 47.0 -55.4
42.0 69.0 -72.7
46.0 93.0 -79.7
60.5 118.0 -104.8
81.0 137.0 -140.3
104.5 138.0 -181.0
122.0 121.0 -211.3
132.0 91.0 -228.6
140.0 52.0 -242.5
142.5 2.0 -246.8
143.5 -45.0 -248.5
140.0 -73.0 -242.5
131.5 -120.0 -227.8
120.0 -162.0 -207.8
96.0 -187.0 -166.3
75.5 -211.0 -130.8
52.5 -221.0 -90.9
36.0 -226.0 -62.4
14.0 -230.0 -24.2
0.0 186.0 -5.0
0.0 184.0 -17.0
0.0 177.0 -20.0
0.0 168.0 -20.0
0.0 161.0 -19.0
0.0 144.0 -20.0
0.0 130.0 -21.0
0.0 116.0 -21.0
0.0 104.0 -23.0
0.0 91.0 -22.0
0.0 80.0 -23.0
0.0 63.0 -25.0
0.0 46.0 -26.0
0.0 37.0 -43.0
0.0 47.0 -64.0
0.0 69.0 -84.0
0.0 93.0 -92.0
0.0 118.0 -121.0
0.0 137.0 -162.0
0.0 138.0 -209.0
0.0 121.0 -244.0
0.0 91.0 -264.0
0.0 52.0 -280.0
0.0 2.0 -285.0
0.0 -45.0 -287.0
0.0 -73.0 -280.0
0.0 -120.0 -263.0
0.0 -162.0 -240.0
0.0 -187.0 -192.0
0.0 -211.0 -151.0
0.0 -221.0 -105.0
0.0 -226.0 -72.0
0.0 -230.0 -28.0
-2.5 186.0 -4.3
-8.5 184.0 -14.7
-10.0 177.0 -17.3
-10.0 168.0 -17.3
-9.5 161.0 -16.5
-10.0 144.0 -17.3
-10.5 130.0 -18.2
-10.5 116.0 -18.2
-11.5 104.0 -19.9
-11.0 91.0 -19.1
-11.5 80.0 -19.9
-12.5 63.0 -21.7
-13.0 46.0 -22.5
-21.5 37.0 -37.2
-32.0 47.0 -55.4
-42.0 69.0 -72.7
-46.0 93.0 -79.7
-60.5 118.0 -104.8
-81.0 137.0 -140.3
-104.5 138.0 -181.0
-122.0 121.0 -211.3
-132.0 91.0 -228.6
-140.0 52.0 -242.5
-142.5 2.0 -246.8
-143.5 -45.0 -248.5
-140.0 -73.0 -242.5
-131.5 -120.0 -227.8
-120.0 -162.0 -207.8
-96.0 -187.0 -166.3
-75.5 -211.0 -130.8
-52.5 -221.0 -90.9
-36.0 -226.0 -62.4
-14.0 -230.0 -24.2
-4.3 186.0 -2.5
-14.7 184.0 -8.5
-17.3 177.0 -10.0
-17.3 168.0 -10.0
-16.5 161.0 -9.5
-17.3 144.0 -10.0
-18.2 130.0 -10.5
-18.2 116.0 -10.5
-19.9 104.0 -11.5
-19.1 91.0 -11.0
-19.9 80.0 -11.5
-21.7 63.0 -12.5
-22.5 46.0 -13.0
-37.2 37.0 -21.5
-55.4 47.0 -32.0
-72.7 69.0 -42.0
-79.7 93.0 -46.0
-104.8 118.0 -60.5
-140.3 137.0 -81.0
-181.0 138.0 -104.5
-211.3 121.0 -122.0
-228.6 91.0 -132.0
-242.5 52.0 -140.0
-246.8 2.0 -142.5
-248.5 -45.0 -143.5
-242.5 -73.0 -140.0
-227.8 -120.0 -131.5
-207.8 -162.0 -120.0
-166.3 -187.0 -96.0
-130.8 -211.0 -75.5
-90.9 -221.0 -52.5
-62.4 -226.0 -36.0
-24.2 -230.0 -14.0
0.0 186.0 0.0
0.0 -230.0 0.0
FACE = 792
0 1 33
1 34 33
33 34 66
34 67 66
66 67 99
67 100 99
99 100 132
100 133 132
132 133 165
133 166 165
165 166 198
166 199 198
198 199 231
199 232 231
231 232 264
232 265 264
264 265 297
265 298 297
297 298 330
298 331 330
330 331 363
331 364 363
1 2 34
2 35 34
34 35 67
35 68 67
67 68 100
68 101 100
100 101 133
101 134 133
133 134 166
134 167 166
166 167 199
167 200 199
199 200 232
200 233 232
232 233 265
233 266 265
265 266 298
266 299 298
298 299 331
299 332 331
331 332 364
332 365 364
2 3 35
3 36 35
35 36 68
36 69 68
68 69 101
69 102 101
101 102 134
102 135 134
134 135 167
135 168 167
167 168 200
168 201 200
200 201 233
201 234 233
233 234 266
234 267 266
266 267 299
267 300 299
299 300 332
300 333 332
332 333 365
333 366 365
3 4 36
4 37 36
36 37 69
37 70 69
69 70 102
70 103 102
102 103 135
103 136 135
135 136 168
136 169 168
168 169 201
169 202 201
201 202 234
202 235 234
234 235 267
235 268 267
267 268 300
268 301 300
300 301 333
301 334 333
333 334 366
334 367 366
4 5 37
5 38 37
37 38 70
38 71 70
70 71 103
71 104 103
103 104 136
104 137 136
136 137 169
137 170 169
169 170 202
170 203 202
202 203 235
203 236 235
235 236 268
236 269 268
268 269 301
269 302 301
301 302 334
302 335 334
334 335 367
335 368 367
5 6 38
6 39 38
38 39 71
39 72 71
71 72 104
72 105 104
104 105 137
105 138 137
137 138 170
138 171 170
170 171 203
171 204 203
203 204 236
204 237 236
236 237 269
237 270 269
269 270 302
270 303 302
302 303 335
303 336 335
335 336 368
336 369 368
6 7 39
7 40 39
39 40 72
40 73 72
72 73 105
73 106 105
105 106 138
106 139 138
138 139 171
139 172 171
171 172 204
172 205 204
204 205 237
205 238 237
237 238 270
238 271 270
270 271 303
271 304 303
303 304 336
304 337 336
336 337 369
337 370 369
7 8 40
8 41 40
40 41 73
41 74 73
73 74 106
74 107 106
106 107 139
107 140 139
139 140 172
140 173 172
172 173 205
173 206 205
205 206 238
206 239 238
238 239 271
239 272 271
271 272 304
272 305 304
304 305 337
305 338 337
337 338 370
338 371 370
8 9 41
9 42 41
41 42 74
42 75 74
74 75 107
75 108 107
107 108 140
108 141 140
140 141 173
141 174 173
173 174 206
174 207 206
206 207 239
207 240 239
239 240 272
240 273 272
272 273 305
273 306 305
305 306 338
306 339 338
338 339 371
339 372 371
9 10 42
10 43 42
42 43 75
43 76 75
75 76 108
76 109 108
108 109 141
109 142 141
141 142 174
142 175 174
174 175 207
175 208 207
207 208 240
208 241 240
240 241 273
241 274 273
273 274 306
274 307 306
306 307 339
307 340 339
339 340 372
340 373 372
10 11 43
11 44 43
43 44 76
44 77 76
76 77 109
77 110 109
109 110 142
110 143 142
142 143 175
143 176 175
175 176 208
176 209 208
208 209 241
209 242 241
241 242 274
242 275 274
274 275 307
275 308 307
307 308 340
308 341 340
340 341 373
341 374 373
11 12 44
12 45 44
44 45 77
45 78 77
77 78 110
78 111 110
110 111 143
111 144 143
143 144 176
144 177 176
176 177 209
177 210 209
209 210 242
210 243 242
242 243 275
243 276 275
275 276 308
276 309 308
308 309 341
309 342 341
341 342 374
342 375 374
12 13 45
13 46 45
45 46 78
46 79 78
78 79 111
79 112 111
111 112 144
112 145 144
144 145 177
145 178 177
177 178 210
178 211 210
210 211 243
211 244 243
243 244 276
244 277 276
276 277 309
277 310 309
309 310 342
310 343 342
342 343 375
343 376 375
13 14 46
14 47 46
46 47 79
47 80 79
79 80 112
80 113 112
112 113 145
113 146 145
145 146 178
146 179 178
178 179 211
179 212 211
211 212 244
212 245 244
244 245 277
245 278 277
277 278 310
278 311 310
310 311 343
311 344 343
343 344 376
344 377 376
14 15 47
15 48 47
47 48 80
48 81 80
80 81 113
81 114 113
113 114 146
114 147 146
146 147 179
147 180 179
179 180 212
180 213 212
212 213 245
213 246 245
245 246 278
246 279 278
278 279 311
279 312 311
311 312 344
312 345 344
344 345 377
345 378 377
15 16 48
16 49 48
48 49 81
49 82 81
81 82 114
82 115 114
114 115 147
115 148 147
147 148 180
148 181 180
180 181 213
181 214 213
213 214 246
214 247 246
246 247 279
247 280 279
279 280 312
280 313 312
312 313 345
313 346 345
345 346 378
346 379 378
16 17 49
17 50 49
49 50 82
50 83 82
82 83 115
83 116 115
115 116 148
116 149 148
148 149 181
149 182 181
181 182 214
182 215 214
214 215 247
215 248 247
247 248 280
248 281 280
280 281 313
281 314 313
313 314 346
314 347 346
346 347 379
347 380 379
17 18 50
18 51 50
50 51 83
51 84 83
83 84 116
84 117 116
116 117 149
117 150 149
149 150 182
150 183 182
182 183 215
183 216 215
215 216 248
216 249 248
248 249 281
249 282 281
281 282 314
282 315 314
314 315 347
315 348 347
347 348 380
348 381 380
18 19 51
19 52 51
51 52 84
52 85 84
84 85 117
85 118 117
117 118 150
118 151 150
150 151 183
151 184 183
183 184 216
184 217 216
216 217 249
217 250 249
249 250 282
250 283 282
282 283 315
283 316 315
315 316 348
316 349 348
348 349 381
349 382 381
19 20 52
20 53 52
52 53 85
53 86 85
85 86 118
86 119 118
118 119 151
119 152 151
151 152 184
152 185 184
184 185 217
185 218 217
217 218 250
218 251 250
250 251 283
251 284 283
283 284 316
284 317 316
316 317 349
317 350 349
349 350 382
350 383 382
20 21 53
21 54 53
53 54 86
54 87 86
86 87 119
87 120 119
119 120 152
120 153 152
152 153 185
153 186 185
185 186 218
186 219 218
218 219 251
219 252 251
251 252 284
252 285 284
284 285 317
285 318 317
317 318 350
318 351 350
350 351 383
351 384 383
21 22 54
22 55 54
54 55 87
55 88 87
87 88 120
88 121 120
120 121 153
121 154 153
153 154 186
154 187 186
186 187 219
187 220 219
219 220 252
220 253 252
252 253 285
253 286 285
285 286 318
286 319 318
318 319 351
319 352 351
351 352 384
352 385 384
22 23 55
23 56 55
55 56 88
56 89 88
88 89 121
89 122 121
121 122 154
122 155 154
154 155 187
155 188 187
187 188 220
188 221 220
220 221 253
221 254 253
253 254 286
254 287 286
286 287 319
287 320 319
319 320 352
320 353 352
352 353 385
353 386 385
23 24 56
24 57 56
56 57 89
57 90 89
89 90 122
90 123 122
122 123 155
123 156 155
155 156 188
156 189 188
188 189 221
189 222 221
221 222 254
222 255 254
254 255 287
255 288 287
287 288 320
288 321 320
320 321 353
321 354 353
353 354 386
354 387 386
24 25 57
25 58 57
57 58 90
58 91 90
90 91 123
91 124 123
123 124 156
124 157 156
156 157 189
157 190 189
189 190 222
190 223 222
222 223 255
223 256 255
255 256 288
256 289 288
288 289 321
289 322 321
321 322 354
322 355 354
354 355 387
355 388 387
25 26 58
26 59 58
58 59 91
59 92 91
91 92 124
92 125 124
124 125 157
125 158 157
157 158 190
158 191 190
190 191 223
191 224 223
223 224 256
224 257 256
256 257 289
257 290 289
289 290 322
290 323 322
322 323 355
323 356 355
355 356 388
356 389 388
26 27 59
27 60 59
59 60 92
60 93 92
92 93 125
93 126 125
125 126 158
126 159 158
158 159 191
159 192 191
191 192 224
192 225 224
224 225 257
225 258 257
257 258 290
258 291 290
290 291 323
291 324 323
323 324 356
324 357 356
356 357 389
357 390 389
27 28 60
28 61 60
60 61 93
61 94 93
93 94 126
94 127 126
126 127 159
127 160 159
159 160 192
160 193 192
192 193 225
193 226 225
225 226 258
226 259 258
258 259 291
259 292 291
291 292 324
292 325 324
324 325 357
325 358 357
357 358 390
358 391 390
28 29 61
29 62 61
61 62 94
62 95 94
94 95 127
95 128 127
127 128 160
128 161 160
160 161 193
161 194 193
193 194 226
194 227 226
226 227 259
227 260 259
259 260 292
260 293 292
292 293 325
293 326 325
325 326 358
326 359 358
358 359 391
359 392 391
29 30 62
30 63 62
62 63 95
63 96 95
95 96 128
96 129 128
128 129 161
129 162 161
161 162 194
162 195 194
194 195 227
195 228 227
227 228 260
228 261 260
260 261 293
261 294 293
293 294 326
294 327 326
326 327 359
327 360 359
359 360 392
360 393 392
30 31 63
31 64 63
63 64 96
64 97 96
96 97 129
97 130 129
129 130 162
130 163 162
162 163 195
163 196 195
195 196 228
196 229 228
228 229 261
229 262 261
261 262 294
262 295 294
294 295 327
295 328 327
327 328 360
328 361 360
360 361 393
361 394 393
31 32 64
32 65 64
64 65 97
65 98 97
97 98 130
98 131 130
130 131 163
131 164 163
163 164 196
164 197 196
196 197 229
197 230 229
229 230 262
230 263 262
262 263 295
263 296 295
295 296 328
296 329 328
328 329 361
329 362 361
361 362 394
362 395 394
363 364 0
364 1 0
364 365 1
365 2 1
365 366 2
366 3 2
366 367 3
367 4 3
367 368 4
368 5 4
368 369 5
369 6 5
369 370 6
370 7 6
370 371 7
371 8 7
371 372 8
372 9 8
372 373 9
373 10 9
373 374 10
374 11 10
374 375 11
375 12 11
375 376 12
376 13 12
376 377 13
377 14 13
377 378 14
378 15 14
378 379 15
379 16 15
379 380 16
380 17 16
380 381 17
381 18 17
381 382 18
382 19 18
382 383 19
383 20 19
383 384 20
384 21 20
384 385 21
385 22 21
385 386 22
386 23 22
386 387 23
387 24 23
387 388 24
388 25 24
388 389 25
389 26 25
389 390 26
390 27 26
390 391 27
391 28 27
391 392 28
392 29 28
392 393 29
393 30 29
393 394 30
394 31 30
394 395 31
395 32 31
0 33 396
33 66 396
66 99 396
99 132 396
132 165 396
165 198 396
198 231 396
231 264 396
264 297 396
297 330 396
330 363 396
363 0 396
65 32 397
98 65 397
131 98 397
164 131 397
197 164 397
230 197 397
263 230 397
296 263 397
329 296 397
362 329 397
395 362 397
32 395 397
VERTEX = 1 
-230.0
